874	NONE	40327	0	40327	0
1110	NONE	258	0	258	0
1266	NONE	2	0	2	0
1418	NONE	9681	1017	11681	0
1429	NONE	2	0	2	0
1463	NONE	2	0	2	0
2547	NONE	6129	1031	8729	0
6954	NONE	4436	0	4436	0
9306	NONE	778	5282	840	0
10202	NONE	355	0	355	0
10396	NONE	19217	923	23374	0
10867	NONE	40242	0	40242	0
11071	FMIFY	5168	411	6963	0
11426	IFYFM	16180	2048	17566	0
12305	NONE	5608	644	7758	0
12355	NONE	1932	1269	3600	0
13348	NONE	37448	0	37448	0
13364	NONE	12371	574	13465	0
13410	NONE	2794	0	2794	0
14171	NONE	2	0	2	0
14382	NONE	2	0	2	0
14633	NONE	2	0	2	0
18403	NONE	2	0	2	0
23373	BOTH	13002	823	14496	0
30973	NONE	75001	0	75001	0
69153	NONE	1009	2827	1026	0
140332	NONE	2	0	2	0
141112	NONE	2	0	2	0
142135	NONE	2	0	2	0
145528	NONE	2	0	2	0
150433	NONE	41000	0	41000	0
184693	NONE	7678	2042	7746	0
238373	NONE	6	0	6	0
281563	BOTH	10626	1287	13907	0
330093	NONE	183	0	183	0
457573	NONE	8524	0	8524	0
511283	NONE	42	3292	60	0
608473	NONE	8238	3863	8665	0
611043	NONE	276	3075	308	0
616173	NONE	55000	0	55000	0
620793	NONE	2831	0	2831	0
623133	NONE	8223	0	8223	0
626523	NONE	663	0	663	0
631583	NONE	14809	0	14809	0
644963	NONE	3222	0	3222	0
647003	BOTH	5205	407	6757	0
655783	NONE	2512	423	4298	0
674433	FMIFY	39303	0	39303	0
676493	NONE	16639	0	16639	0
685513	NONE	165	0	165	0
696193	BOTH	25495	0	25495	0
702953	NONE	50	0	50	0
720843	NONE	406	0	406	0
743763	NONE	68441	1225	75289	0
754556	NONE	60000	0	60000	0
756278	NONE	1622	8699	1807	0
767395	NONE	80	0	80	0
770759	NONE	369	14400	415	0
777560	NONE	8278	438	9461	0
779746	IFYFM	3819	0	3819	0
784304	NONE	42111	0	42111	0
784492	NONE	14742	3263	15000	0
785032	IFYFM	12790	0	12790	0
785595	FMIFY	59974	3420	60000	0
790201	NONE	11439	747	12713	0
794355	NONE	102	0	102	0
795626	NONE	7869	2166	8841	0
802074	NONE	1062	0	1062	0
804268	NONE	180	1776	184	0
804455	NONE	70000	0	70000	0
808093	NONE	238	2610	243	0
810011	BOTH	12204	889	14719	0
811182	FMIFY	59044	870	60000	0
811397	NONE	2318	245	3221	0
813039	NONE	7905	0	7905	0
813286	NONE	130000	0	130000	0
814293	NONE	11806	1015	13563	0
815888	BOTH	12503	0	12503	0
817045	NONE	129	2042	140	0
821978	NONE	2560	0	2560	0
852861	BOTH	20635	0	20635	0
886491	IFYFM	3580	1082	3997	0
893431	NONE	35	0	35	0
897351	NONE	3206	455	5046	0
920861	NONE	372	0	372	0
933291	NONE	595	1319	780	0
1002261	NONE	5509	622	6418	0
1035491	NONE	26141	0	26141	0
1090951	IFYFM	6854	798	8228	0
1097851	IFYFM	2132	4794	2727	0
1103161	FMIFY	4215	0	4215	0
1117651	NONE	353	0	353	0
1143031	NONE	908	8935	990	0
1174681	NONE	172	3330	178	0
1189581	NONE	5787	2207	5924	0
1201491	NONE	9755	3997	12037	0
1245101	NONE	5770	0	5770	0
1253431	NONE	1417	0	1417	0
1255151	IFYFM	9401	3278	10210	0
1283361	NONE	7112	0	7112	0
1298771	NONE	2406	1702	3700	0
1308181	NONE	4435	668	5091	0
1315431	NONE	63269	3554	66265	0
1338681	IFYFM	3690	4143	5000	0
1359561	FMIFY	75000	0	75000	0
1361831	NONE	2981	1120	3494	0
1397291	NONE	32	2530	34	0
1409051	NONE	1435	0	1435	0
1409471	NONE	3624	2135	3887	0
1418692	NONE	2	0	2	0
1445688	NONE	2	0	2	0
1460411	NONE	2	0	2	0
1464881	BOTH	4636	699	5856	0
1473431	NONE	395	0	395	0
1530371	NONE	15690	270	18103	0
1533861	NONE	259	0	259	0
1588291	NONE	58	2579	65	0
1601911	NONE	3762	1568	5319	0
1712831	NONE	67078	0	67078	0
1729741	BOTH	16611	0	16611	0
1734381	NONE	54984	12890	55000	0
1735241	NONE	13191	1015	13472	0
1749251	NONE	8226	0	8226	0
1757901	NONE	4326	0	4326	0
1771151	NONE	6578	0	6578	0
1820881	FMIFY	8078	0	8078	0
1907361	NONE	5065	0	5065	0
1911641	NONE	306	3924	342	0
1917731	NONE	134996	1298	135000	0
1958351	NONE	5000	0	5000	0
1976611	FMIFY	54127	0	54127	0
1998841	IFYFM	11058	1657	14145	0
2005151	NONE	298	1200	305	0
2023191	FMIFY	43707	1651	51182	0
2046991	NONE	4374	0	4374	0
2074981	NONE	15000	0	15000	0
2156951	NONE	623	0	623	0
2241221	IFYFM	12454	3892	13307	0
2243161	NONE	43843	930	44805	0
2296271	NONE	4033	0	4033	0
2323411	NONE	920	1634	927	0
2346971	BOTH	7853	830	8140	0
2356581	BOTH	13312	0	13312	0
2372621	NONE	3703	0	3703	0
2528871	FMIFY	7071	0	7071	0
2551781	NONE	5730	0	5730	0
2553871	IFYFM	1939	1278	2158	0
2557521	NONE	369	5676	375	0
2561571	NONE	11279	1297	13444	0
2597491	NONE	227	2469	287	0
2656681	NONE	13521	0	13521	0
2662651	BOTH	10940	995	13419	0
2690211	NONE	114	2412	115	0
2704561	IFYFM	2358	502	2995	0
2771921	NONE	4354	0	4354	0
2776801	NONE	6609	3552	7167	0
2847571	IFYFM	1580	855	2394	0
2876911	IFYFM	26490	0	26490	0
2885851	NONE	8493	0	8493	0
2961431	NONE	2594	498	4186	0
2972571	NONE	345	4112	390	0
2977171	NONE	44691	2538	49642	0
2979391	NONE	650	0	650	0
3071851	NONE	3708	0	3708	0
3076591	BOTH	23737	809	26552	0
3099191	NONE	2168	0	2168	0
3124351	NONE	1441	1669	2471	0
3279001	NONE	5530	0	5530	0
3279421	NONE	1452	789	3284	0
3284351	IFYFM	1953	0	1953	0
3286871	NONE	1258	0	1258	0
3355991	NONE	5530	0	5530	0
3399351	NONE	3549	0	3549	0
3486751	FMIFY	6095	0	6095	0
3487621	IFYFM	17558	0	17558	0
3554721	NONE	31273	430	32968	0
3568351	IFYFM	2652	0	2652	0
3650851	IFYFM	2116	932	2656	0
3688251	NONE	2150	515	4570	0
3746171	NONE	63512	0	63512	0
3881391	NONE	18897	921	20037	0
4057941	NONE	28149	0	28149	0
4153501	NONE	155	1836	156	0
4190421	IFYFM	15000	0	15000	0
4200861	FMIFY	35529	0	35529	0
4228521	BOTH	2992	650	4087	0
4260991	NONE	3718	1080	6955	0
4278201	NONE	35245	1017	39903	0
4303181	NONE	9801	1107	11433	0
4387921	NONE	13662	0	13662	0
4511661	NONE	73	3710	79	0
4624001	NONE	7946	0	7946	0
4630221	BOTH	20676	0	20676	0
4654771	NONE	69	0	69	0
4659321	NONE	588	2065	1165	0
4693781	FMIFY	15548	0	15548	0
4733651	NONE	12332	1591	14690	0
4800271	NONE	7346	1698	7748	0
4804601	NONE	5813	920	6406	0
4804801	NONE	460	3323	471	0
