874	FMIFY
1110	BOTH
1418	BOTH
1495	FMIFY
2547	BOTH
6954	FMIFY
7648	BOTH
9306	BOTH
10202	BOTH
10396	BOTH
10419	FMIFY
10867	BOTH
11071	BOTH
11426	BOTH
12305	IFYFM
12355	BOTH
13348	BOTH
13364	IFYFM
13410	BOTH
23373	BOTH
26743	BOTH
30973	FMIFY
69153	BOTH
150433	BOTH
184693	BOTH
238373	BOTH
281563	BOTH
330093	BOTH
457573	BOTH
511283	BOTH
571593	BOTH
608473	FMIFY
611043	FMIFY
616173	BOTH
620793	BOTH
623133	BOTH
626523	BOTH
631583	FMIFY
644963	BOTH
647003	BOTH
655783	IFYFM
674433	BOTH
676493	BOTH
678953	BOTH
685513	FMIFY
696193	BOTH
702953	BOTH
717313	FMIFY
720843	FMIFY
743763	BOTH
754556	FMIFY
755741	BOTH
756278	BOTH
767395	BOTH
770759	BOTH
774066	BOTH
777560	BOTH
779746	BOTH
784304	BOTH
784492	BOTH
785032	BOTH
785595	BOTH
787265	BOTH
790201	IFYFM
794355	BOTH
795626	BOTH
802074	BOTH
804204	BOTH
804268	BOTH
804455	BOTH
808093	BOTH
809838	BOTH
810011	BOTH
811182	BOTH
811397	IFYFM
813039	FMIFY
813286	FMIFY
814293	BOTH
815888	BOTH
817045	FMIFY
817977	FMIFY
821978	BOTH
852861	BOTH
886491	FMIFY
893431	BOTH
897351	BOTH
898491	BOTH
920861	FMIFY
933291	FMIFY
1002261	BOTH
1035491	BOTH
1069561	BOTH
1073261	FMIFY
1090951	BOTH
1097851	BOTH
1103161	BOTH
1117651	BOTH
1121711	BOTH
1143031	FMIFY
1174681	FMIFY
1189581	IFYFM
1201491	BOTH
1220781	BOTH
1245101	BOTH
1253431	FMIFY
1255151	BOTH
1283361	IFYFM
1295571	FMIFY
1298771	BOTH
1308181	BOTH
1315431	BOTH
1338681	BOTH
1359561	BOTH
1361831	BOTH
1397291	BOTH
1409051	FMIFY
1409471	BOTH
1447261	BOTH
1464881	BOTH
1473431	BOTH
1503071	FMIFY
1530371	BOTH
1533861	BOTH
1588291	BOTH
1601911	BOTH
1665061	BOTH
1702731	BOTH
1712831	BOTH
1729741	BOTH
1734381	BOTH
1735241	BOTH
1749251	BOTH
1757901	BOTH
1771151	BOTH
1820881	BOTH
1823571	BOTH
1907361	BOTH
1911641	BOTH
1917731	BOTH
1958351	BOTH
1976611	IFYFM
1998841	BOTH
2005151	BOTH
2023191	BOTH
2046991	BOTH
2074981	BOTH
2156951	BOTH
2241221	FMIFY
2243161	BOTH
2243291	BOTH
2296271	BOTH
2323411	BOTH
2346971	BOTH
2356581	BOTH
2372621	BOTH
2528871	BOTH
2541771	BOTH
2551781	BOTH
2553871	BOTH
2557521	BOTH
2561571	BOTH
2597491	FMIFY
2608911	FMIFY
2656681	FMIFY
2662651	BOTH
2690211	FMIFY
2704561	BOTH
2704951	BOTH
2771921	BOTH
2776801	BOTH
2847571	FMIFY
2876911	BOTH
2884771	FMIFY
2885851	BOTH
2961431	BOTH
2972571	FMIFY
2977171	BOTH
2979391	FMIFY
3029601	BOTH
3071851	IFYFM
3076591	BOTH
3099191	BOTH
3124351	FMIFY
3279001	BOTH
3279421	BOTH
3284351	BOTH
3286871	BOTH
3291901	BOTH
3355991	BOTH
3399351	BOTH
3486751	BOTH
3487621	BOTH
3533231	BOTH
3554721	BOTH
3568351	FMIFY
3652891	BOTH
3688251	BOTH
3746171	BOTH
3761241	BOTH
3761471	BOTH
3881391	BOTH
4057941	FMIFY
4153501	FMIFY
4190421	BOTH
4200861	BOTH
4228521	BOTH
4239551	IFYFM
4260991	BOTH
4278201	BOTH
4303181	FMIFY
4387921	BOTH
4511661	FMIFY
4624001	BOTH
4630221	IFYFM
4654771	BOTH
4659321	BOTH
4693781	BOTH
4733651	BOTH
4794261	IFYFM
4800271	BOTH
4804601	FMIFY
4804801	BOTH
4898501	FMIFY
4917231	BOTH
5004281	IFYFM
5173351	FMIFY
5200221	BOTH
5210841	BOTH
5380672	FMIFY
5392522	FMIFY
5393152	BOTH
5414782	FMIFY
5417132	BOTH
5434242	BOTH
5435942	BOTH
5449422	BOTH
5464452	BOTH
5482582	BOTH
5485192	BOTH
5489632	BOTH
5511332	BOTH
5520952	BOTH
5521172	BOTH
5526292	BOTH
5545012	BOTH
5565532	FMIFY
5566092	BOTH
5568612	BOTH
5570592	BOTH
5571322	BOTH
5579372	BOTH
5588242	BOTH
5637602	BOTH
5639262	FMIFY
5644142	BOTH
5644892	BOTH
5650302	FMIFY
5652742	BOTH
5653432	BOTH
5656402	BOTH
5658202	FMIFY
5661892	BOTH
5676952	IFYFM
5683952	BOTH
5687592	BOTH
5693062	BOTH
